Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate
21,0,0,0,0,0,0,0,NoStalling,0,0,,,,
22,0,0,0,0,0,0,0,NoStalling,0,0,,,,
23,0,0,0,0,0,0,0,NoStalling,0,0,,,,
24,0,0,0,0,0,0,0,NoStalling,0,0,,,,
25,0,0,0,0,0,0,0,NoStalling,0,0,,,,
26,0,0,0,0,0,0,0,NoStalling,0,0,,,,
Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate
21,0,0,0,0,0,0,0,NoStalling,0,0,,,,
22,0,0,0,0,0,0,0,NoStalling,0,0,,,,
23,0,0,0,0,0,0,0,NoStalling,0,0,,,,
24,0,0,0,0,0,0,0,NoStalling,0,0,,,,
25,0,0,0,0,0,0,0,NoStalling,0,0,,,,
26,0,0,0,0,0,0,0,NoStalling,0,0,,,,
Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate
21,6092,619255,222781,14.0513,6.54484,0,0,NoStalling,0,0,166.154,66.5217,61.9886,619255
22,25014,41749.8,21621.8,0,0,12,-6.725,MildStalling,188300,0,0,0,-nan,41749.8
23,58049,77226.5,63636.9,0,0,15,-4.975,MildStalling,139300,0,0,0,-nan,77226.5
24,6176,420980,301163,1.18447,1.48617,20,-0.992857,MildStalling,27800,0,55.9223,158.4,190.446,420980
25,5555,1.13019e+06,114108,14.3051,7.08126,0,0,NoStalling,0,0,355.424,1.55172,10.345,1.13019e+06
26,5679,847580,163453,14.3729,7.52374,0,0,NoStalling,0,0,321.864,42.2609,25.0648,847580
